Speed,MovFlag,Peakrangenorm,Species,ID,Chan,Session,DrugFlag
4.421606658,imm,0.267802743,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.049023302,imm,0.071408778,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.897930917,imm,0.174211803,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.473576116,imm,0.405298002,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.441022667,btwn,0.35159879,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.743835563,imm,0.222411068,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.423603039,imm,0.552568463,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.167429242,imm,0.228246092,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.534462443,imm,0.400918427,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.578213024,btwn,0.452398046,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.515293565,btwn,0.454814331,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.779017734,imm,0.412849243,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.83971506,btwn,0.700015399,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.48515063,btwn,0.465126117,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.06051479,btwn,0.554524206,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.45968658,btwn,0.259120117,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.612050347,btwn,0.327384173,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.199318476,btwn,0.569097714,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.251139449,imm,0.396815286,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.872973247,imm,0.374352397,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.603876134,imm,0.430175946,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.01765374,btwn,0.353538841,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
14.81430651,btwn,0.237851071,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
23.09115159,mov,0.632165452,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
17.58915759,btwn,0.413071376,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.819110331,btwn,0.437467726,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.964357436,imm,0.164729197,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
24.30482141,mov,0.32090257,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.38492258,btwn,0.313555088,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
14.8292443,btwn,0.554849281,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
14.50286686,btwn,0.288028689,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
26.57696716,mov,0.500112265,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.83817005,btwn,0.325907344,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.634645208,btwn,0.500070077,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.665891842,imm,0.460674665,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
17.45544578,btwn,0.18604712,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.46861045,btwn,0.758682931,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.64064319,btwn,0.304110661,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.078431797,btwn,0.460809618,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.254549723,btwn,0.328211795,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.212165102,imm,0.196470207,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
11.66669138,btwn,0.194116771,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
29.07231773,mov,0.654135932,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
23.12884849,mov,0.575973654,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.818361157,btwn,0.420581237,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
