Species,ID,Recside,Chan,Session,TaskType,Modality,TrialNum,NanIdx,RwdWinIdx,SNR,Duration,Difficulty,Correct,CorrectionTrial,Epoch,Peakrangenorm,Freq,Speed
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,50,0,1,24.7287241054424,2,0,1,0,Rwd,0.348872359149515,6.2,1.88342504932801
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,51,0,0,24.7287241054424,2,0,1,0,Hold,0.418469054910522,7.7,2.46839491783194
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,51,0,0,24.7287241054424,2,0,1,0,Run,0.664155203089478,10.3,55.7255759549161
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,51,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,52,0,0,24.7287241054424,2,0,1,0,Hold,0.199823207760365,6.2,1.98935463731481
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,52,0,0,24.7287241054424,2,0,1,0,Run,0.621563595857401,10.9,61.7376312897742
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,52,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,53,0,0,24.7287241054424,2,0,0,0,Hold,0.160086014522001,8.7,2.88966070020867
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,53,0,0,24.7287241054424,2,0,0,0,Run,0.685608157476435,9.5,44.8959894171506
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,53,0,0,24.7287241054424,2,0,0,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,54,0,1,24.7287241054424,2,0,1,0,Hold,0.474809260316281,7.9,1.97797727625672
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,54,0,1,24.7287241054424,2,0,1,0,Run,0.586792337643667,10.2,39.1077673389442
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,54,0,1,24.7287241054424,2,0,1,0,Rwd,0.183262508013448,8.4,2.54037244264288
