ID,IDside,Species,Date,TextFile,RecType,RecSide,RawDataFolder,CSCX,N_CSCX,ExtractedFolder,ExtractedFile,ExtractedEventFile,VidFile,TrackingFile,Level,Modality
"DRED","DREDR","R","2017-4-14","D-RED_2017-4-14 level05_mixDur_VIS 16-24-34.txt","T","R","2017-04-14_16-23-48, 2017-04-14_16-23-48, 2017-04-14_16-23-48, 2017-04-14_16-23-48","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs",4,"2017-04-14_16-23-48","2017-04-14_16-23-48_CX.mat","2017-04-14_16-23-48_Events.mat, 2017-04-14_16-23-48_Events_0001.mat, 2017-04-14_16-23-48_Events_0002.mat, 2017-04-14_16-23-48_Events_0003.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg","2017-04-14_16-23-48_VT1_position_tracking.mat",5,"V"
"DRED","DREDR","R","2017-4-15","D-RED_2017-4-15 level06_SNR_AUD 15-27-15.txt","T","R","2017-04-15_15-26-12, 2017-04-15_15-26-12, 2017-04-15_15-26-12","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs",3,"2017-04-15_15-26-12","2017-04-15_15-26-12_CX.mat","2017-04-15_15-26-12_Events.mat, 2017-04-15_15-26-12_Events_0001.mat, 2017-04-15_15-26-12_Events_0002.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg","2017-04-15_15-26-12_VT1_position_tracking.mat",6,"A"
"DRED","DREDR","R","2017-4-16","D-RED_2017-4-16 level06_SNR_VIS 14-8-37.txt","T","R","2017-04-16_14-07-45","CSCX.ncs",1,"2017-04-16_14-07-45","2017-04-16_14-07-45_CX.mat","2017-04-16_14-07-45_Events.mat","VT1.mpg","2017-04-16_14-07-45_VT1_position_tracking.mat",6,"V"
"DBLU","DBLUR","R","2017-4-12","D-BLU_2017-4-12 level05_mixDur_AUD 14-56-53.txt","T","R","2017-04-12_14-56-17, 2017-04-12_14-56-17, 2017-04-12_14-56-17","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs",3,"2017-04-12_14-56-17","2017-04-12_14-56-17_CX.mat","2017-04-12_14-56-17_Events.mat, 2017-04-12_14-56-17_Events_0001.mat, 2017-04-12_14-56-17_Events_0002.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg","2017-04-12_14-56-17_VT1_position_tracking.mat",5,"A"
"DBLU","DBLUR","R","2017-4-13","D-BLU_2017-4-13 level05_mixDur_VIS 12-59-58.txt","T","R","2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40, 2017-04-13_12-58-40","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs, CSCX_0004.ncs, CSCX_0006.ncs, CSCX_0007.ncs, CSCX_0008.ncs",8,"2017-04-13_12-58-40","2017-04-13_12-58-40_CX.mat","2017-04-13_12-58-40_Events.mat, 2017-04-13_12-58-40_Events_0001.mat, 2017-04-13_12-58-40_Events_0002.mat, 2017-04-13_12-58-40_Events_0003.mat, 2017-04-13_12-58-40_Events_0004.mat, 2017-04-13_12-58-40_Events_0006.mat, 2017-04-13_12-58-40_Events_0007.mat, 2017-04-13_12-58-40_Events_0008.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg, VT1_0004.mpg, VT1_0006.mpg, VT1_0007.mpg, VT1_0008.mpg","2017-04-13_12-58-40_VT1_position_tracking.mat",5,"V"
"DBLU","DBLUR","R","2017-4-14","D-BLU_2017-4-14 level06_SNR_AUD 15-0-15.txt","T","R","2017-04-14_14-53-46, 2017-04-14_14-53-46, 2017-04-14_14-53-46, 2017-04-14_14-53-46","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs",4,"2017-04-14_14-53-46","2017-04-14_14-53-46_CX.mat","2017-04-14_14-53-46_Events.mat, 2017-04-14_14-53-46_Events_0001.mat, 2017-04-14_14-53-46_Events_0002.mat, 2017-04-14_14-53-46_Events_0003.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg","2017-04-14_14-53-46_VT1_position_tracking.mat",6,"A"
"DBLU","DBLUR","R","2017-4-15","D-BLU_2017-4-15 level06_SNR_VIS 14-6-23.txt","T","R","2017-04-15_14-04-42, 2017-04-15_14-04-42, 2017-04-15_14-04-42, 2017-04-15_14-04-42","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs",4,"2017-04-15_14-04-42","2017-04-15_14-04-42_CX.mat","2017-04-15_14-04-42_Events.mat, 2017-04-15_14-04-42_Events_0001.mat, 2017-04-15_14-04-42_Events_0002.mat, 2017-04-15_14-04-42_Events_0003.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg","2017-04-15_14-04-42_VT1_position_tracking.mat",6,"V"
"DBLU","DBLUR","R","2017-4-16","D-BLU_2017-4-16 level05_mixDur_AUD 16-26-23.txt","T","R","2017-04-16_16-16-28","CSCX_0001.ncs",1,"2017-04-16_16-16-28","2017-04-16_16-16-28_CX.mat","2017-04-16_16-16-28_Events_0001.mat","VT1_0001.mpg","2017-04-16_16-16-28_VT1_0001_position_tracking.mat",5,"A"
"DBLU","DBLUR","R","2017-4-17","D-BLU_2017-4-17 level05_mixDur_VIS 11-46-2.txt","T","R","2017-04-17_11-43-27","CSCX.ncs",1,"2017-04-17_11-43-27","2017-04-17_11-43-27_CX.mat","2017-04-17_11-43-27_Events.mat","VT1.mpg","2017-04-17_11-43-27_VT1_position_tracking.mat",5,"V"
"DBLU","DBLUR","R","2017-4-18","D-BLU_2017-4-18 level06_SNR_AUD 14-30-47.txt","T","R","2017-04-18_14-24-12","CSCX.ncs",1,"2017-04-18_14-24-12","2017-04-18_14-24-12_CX.mat","2017-04-18_14-24-12_Events.mat","VT1.mpg","2017-04-18_14-24-12_VT1_position_tracking.mat",6,"A"
"DBLU","DBLUR","R","2017-4-19","D-BLU_2017-4-19 level06_SNR_VIS 11-31-27.txt","T","R","2017-04-19_11-26-14, 2017-04-19_11-26-14","CSCX.ncs, CSCX_0001.ncs",2,"2017-04-19_11-26-14","2017-04-19_11-26-14_CX.mat","2017-04-19_11-26-14_Events.mat, 2017-04-19_11-26-14_Events_0001.mat","VT1.mpg, VT1_0001.mpg","2017-04-19_11-26-14_VT1_position_tracking.mat",6,"V"
"DBLU","DBLUR","R","2017-4-20","D-BLU_2017-4-20 level05_mixDur_AUD 15-6-43.txt","T","R","2017-04-20_15-01-06","CSCX_0001.ncs",1,"2017-04-20_15-01-06","2017-04-20_15-01-06_CX.mat","2017-04-20_15-01-06_Events_0001.mat","VT1_0001.mpg","2017-04-20_15-01-06_VT1_0001_position_tracking.mat",5,"A"
"DBLU","DBLUR","R","2017-4-21","D-BLU_2017-4-21 level05_mixDur_VIS 13-14-36.txt","T","R","2017-04-21_13-07-14","CSCX.ncs",1,"2017-04-21_13-07-14","2017-04-21_13-07-14_CX.mat","2017-04-21_13-07-14_Events.mat","VT1.mpg","2017-04-21_13-07-14_VT1_position_tracking.mat",5,"V"
"DBLU","DBLUR","R","2017-4-22","D-BLU_2017-4-22 level06_SNR_AUD 12-10-46.txt","T","R","2017-04-22_11-13-31","CSCX_0001.ncs",1,"2017-04-22_11-13-31","2017-04-22_11-13-31_CX.mat","2017-04-22_11-13-31_Events_0001.mat","VT1_0001.mpg","2017-04-22_11-13-31_VT1_0001_position_tracking.mat",6,"A"
"DBLU","DBLUR","R","2017-4-23","D-BLU_2017-4-23 level06_SNR_VIS 15-16-38.txt","T","R","2017-04-23_15-13-09","CSCX.ncs",1,"2017-04-23_15-13-09","2017-04-23_15-13-09_CX.mat","2017-04-23_15-13-09_Events.mat","VT1.mpg","2017-04-23_15-13-09_VT1_position_tracking.mat",6,"V"
